City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,plettenberg bay,-34.0527,23.3716,70.48,79,0,8.43,ZA,1675564001
339,lata,40.1629,-8.3327,42.13,63,0,4.88,PT,1675564002
340,kuvshinovo,57.0295,34.1725,16.86,97,97,5.08,RU,1675564002
341,ilulissat,69.2167,-51.1,-5.78,59,14,1.14,GL,1675564003
342,bandarbeyla,9.4942,50.8122,72.86,75,100,13.82,SO,1675564003
343,qaqortoq,60.7167,-46.0333,22.77,69,98,21.72,GL,1675564004
344,mayo,38.8876,-76.5119,32.13,54,0,9.22,US,1675564004
345,mahibadhoo,3.7833,72.9667,79.75,76,99,2.26,MV,1675564005
346,chulman,56.8479,124.9104,-7.69,98,99,0.81,RU,1675564005
347,havoysund,70.9963,24.6622,28.63,85,100,10.58,NO,1675564006
348,houma,29.5958,-90.7195,55.99,82,5,1.01,US,1675564006
349,guerrero negro,27.9769,-114.0611,60.93,70,0,10.58,MX,1675564007
350,altamira,-3.2033,-52.2064,72.19,98,100,2.77,BR,1675563938
351,nouadhibou,20.931,-17.0347,64.38,34,100,12.66,MR,1675564007
352,vardo,70.3705,31.1107,15.78,92,20,20.71,NO,1675564008
353,chilca,-12.5211,-76.7372,72.7,83,81,5.73,PE,1675564008
354,khandyga,62.6667,135.6,-32.35,94,93,0.74,RU,1675564009
355,concordia,-31.393,-58.0209,72.79,44,0,7.0,AR,1675564009
356,belmonte,-15.8631,-38.8828,78.76,81,0,9.19,BR,1675564010
357,umm lajj,25.0213,37.2685,64.45,50,49,9.62,SA,1675564010
358,dzilam gonzalez,21.2833,-88.9333,71.19,79,15,8.16,MX,1675564011
359,chapais,49.7834,-74.8492,-2.42,94,100,11.63,CA,1675564011
360,yerbogachen,61.2767,108.0108,-19.93,100,100,1.43,RU,1675564012
361,palmer,42.1584,-72.3287,15.62,37,100,6.91,US,1675563753
362,bolshoy lug,52.0779,104.0919,1.58,94,100,1.01,RU,1675564013
363,gerardmer,48.0735,6.8779,30.04,93,16,1.79,FR,1675564013
364,samarai,-10.6167,150.6667,84.24,70,87,4.05,PG,1675564014
